course_id,title,description,tags,text,provider,subject,level,duration_hours,url
openlearn_119181d519ea,Mental health in society,"In this free course, Mental health in society, you will explore and critically reflect on mental health. You will explore the relationship between the lived experiences of individuals, and the ...",,"Mental health in society In this free course, Mental health in society, you will explore and critically reflect on mental health. You will explore the relationship between the lived experiences of individuals, and the ...",OpenLearn (The Open University),health sports psychology,Introductory,,https://www.open.edu/openlearn/health-sports-psychology/mental-health-society
openlearn_7f2c437754b7,Financial statement analysis and interpretation,"This free course, Financial statement analysis and interpretation focuses on how the users of financial statements draw inferences about the financial position and performance of a reporting entity...",,"Financial statement analysis and interpretation This free course, Financial statement analysis and interpretation focuses on how the users of financial statements draw inferences about the financial position and performance of a reporting entity...",OpenLearn (The Open University),money business,Intermediate,,https://www.open.edu/openlearn/money-business/financial-statement-analysis-and-interpretation
openlearn_1f86e637df81,Doping: a contemporary sports issue case study,"In this free course, doping (performance enhancing drugs, or PEDs) is used as an example of how contemporary issues in sport might be studied. Doping is used to illustrate how you can think about ...",,"Doping: a contemporary sports issue case study In this free course, doping (performance enhancing drugs, or PEDs) is used as an example of how contemporary issues in sport might be studied. Doping is used to illustrate how you can think about ...",OpenLearn (The Open University),health sports psychology,Intermediate,,https://www.open.edu/openlearn/health-sports-psychology/doping-contemporary-sports-issue-case-study
openlearn_7dc429bf0289,White dwarfs and neutron stars,"Stars live their lives for millions or billions of years but will eventually die. Low mass stars (like the Sun) will end their lives producing so-called planetary nebulae, and leave behind a ...",,"White dwarfs and neutron stars Stars live their lives for millions or billions of years but will eventually die. Low mass stars (like the Sun) will end their lives producing so-called planetary nebulae, and leave behind a ...",OpenLearn (The Open University),science maths technology,Advanced,,https://www.open.edu/openlearn/science-maths-technology/white-dwarfs-and-neutron-stars
openlearn_df354a7dd4a7,The formation of exoplanets,Over the last few decades astronomers have discovered thousands of planets orbiting stars other than the Sun – known as exoplanets. Many of these exoplanets are quite unlike anything we see in our ...,,The formation of exoplanets Over the last few decades astronomers have discovered thousands of planets orbiting stars other than the Sun – known as exoplanets. Many of these exoplanets are quite unlike anything we see in our ...,OpenLearn (The Open University),science maths technology,Advanced,,https://www.open.edu/openlearn/science-maths-technology/the-formation-exoplanets
openlearn_f50843c51a4e,Developing business ideas for drone technologies,"Are you a drone pilot looking to explore the opportunity of expanding your offering in the agricultural, forestry and rural sectors? Are you a student interested in knowing how drones can impact ...",,"Developing business ideas for drone technologies Are you a drone pilot looking to explore the opportunity of expanding your offering in the agricultural, forestry and rural sectors? Are you a student interested in knowing how drones can impact ...",OpenLearn (The Open University),money business,Introductory,,https://www.open.edu/openlearn/money-business/developing-business-ideas-drone-technologies
openlearn_3413d67fae18,Principles and practices of peace education,Principles and practices of peace education explores how peace might be built in everyday classroom practice. It can be used as individual study or as a basis for CPD with a larger group. It ...,,Principles and practices of peace education Principles and practices of peace education explores how peace might be built in everyday classroom practice. It can be used as individual study or as a basis for CPD with a larger group. It ...,OpenLearn (The Open University),education development,Introductory,,https://www.open.edu/openlearn/education-development/principles-and-practices-peace-education
openlearn_db48100b6530,Evolutionary tree of mammals,"This introduction to the evolution of mammals considers Darwin's observations on mammals and how he noticed that species fell into natural groups. This free course, Evolutionary tree of mammals, ...",,"Evolutionary tree of mammals This introduction to the evolution of mammals considers Darwin's observations on mammals and how he noticed that species fell into natural groups. This free course, Evolutionary tree of mammals, ...",OpenLearn (The Open University),nature environment,Introductory,,https://www.open.edu/openlearn/nature-environment/natural-history/evolutionary-tree-mammals/content-section-0
openlearn_a05fa8035c6f,Caring for adults,"Caring for adults is an introductory course for anyone in a caring role, either paid or unpaid. It builds on what you already know to give you a better understanding of your role as a carer. It ...",,"Caring for adults Caring for adults is an introductory course for anyone in a caring role, either paid or unpaid. It builds on what you already know to give you a better understanding of your role as a carer. It ...",OpenLearn (The Open University),health sports psychology,Introductory,,https://www.open.edu/openlearn/health-sports-psychology/social-care-social-work/caring-adults/content-section-overview
openlearn_5c3dc52791de,Blood and the respiratory system,"‘Don’t hold your breath’ is an expression you’ve probably heard many times, but may not have thought too much about. In this free course, Blood and the respiratory system, you’ll study why ...",,"Blood and the respiratory system ‘Don’t hold your breath’ is an expression you’ve probably heard many times, but may not have thought too much about. In this free course, Blood and the respiratory system, you’ll study why ...",OpenLearn (The Open University),science maths technology,Intermediate,,https://www.open.edu/openlearn/science-maths-technology/blood-and-the-respiratory-system
